date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:32	92/92	---M-Z	200	added ('OK')	text/plain	date:Fri,%2018%20Sep%202026%2013:08:32%20GMT	https://ufeel.sa/robots.txt		(from )
16:08:33	386017/386017	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202026%2013:08:33%20GMT	https://ufeel.sa/	D:/copy/wooooo/ufeel.sa/index.html	(from )
16:08:36	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2018%20Sep%202026%2013:08:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/copy/wooooo/www.googletagmanager.com/gtm5445.html	(from https://ufeel.sa/)
16:08:38	16234/16234	---M-Z	200	added ('OK')	application/xml	etag:%223f6a-6aa1452e-1522e9330f688e19;br%22	https://ufeel.sa/sitemap.xml	D:/copy/wooooo/ufeel.sa/sitemap.xml	(from https://ufeel.sa/)
16:08:39	22228/22228	---M--	200	added ('OK')	image/png	etag:%2256d4-6a5b6fd0-6e62b0c32691bb62;;;%22	https://ufeel.sa/images/ufeel-logo.png	D:/copy/wooooo/ufeel.sa/images/ufeel-logo.png	(from https://ufeel.sa/)
16:08:40	16860/16860	---M--	200	added ('OK')	font/woff2	etag:%2241dc-6a5b6fd0-defa02839f195e16;;;%22	https://ufeel.sa/build/assets/instrument-sans-400-normal-DRC__1Mx.woff2	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-400-normal-DRC__1Mx.woff2	(from https://ufeel.sa/)
16:08:41	6856/6856	---M--	200	added ('OK')	font/woff2	etag:%221ac8-6a5b6fd0-59d40a5a730a1106;;;%22	https://ufeel.sa/build/assets/instrument-sans-400-normal-Q_nF8v4l.woff2	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-400-normal-Q_nF8v4l.woff2	(from https://ufeel.sa/)
16:08:41	21240/21240	---M--	200	added ('OK')	application/font-woff	etag:%2252f8-6a5b6fd0-43eee6ae454f659e;;;%22	https://ufeel.sa/build/assets/instrument-sans-400-normal-D1W7dsQl.woff	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-400-normal-D1W7dsQl.woff	(from https://ufeel.sa/)
16:08:42	8960/8960	---M--	200	added ('OK')	application/font-woff	etag:%222300-6a5b6fd0-dbca5eebfa792da2;;;%22	https://ufeel.sa/build/assets/instrument-sans-400-normal-r32jotim.woff	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-400-normal-r32jotim.woff	(from https://ufeel.sa/)
16:08:42	17232/17232	---M--	200	added ('OK')	font/woff2	etag:%224350-6a5b6fd0-5ed719786df4c3ff;;;%22	https://ufeel.sa/build/assets/instrument-sans-500-normal-Dk9ku72i.woff2	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-500-normal-Dk9ku72i.woff2	(from https://ufeel.sa/)
16:08:43	21652/21652	---M--	200	added ('OK')	application/font-woff	etag:%225494-6a5b6fd0-b967dace72419f63;;;%22	https://ufeel.sa/build/assets/instrument-sans-500-normal-Z6ESRlEs.woff	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-500-normal-Z6ESRlEs.woff	(from https://ufeel.sa/)
16:08:43	6980/6980	---M--	200	added ('OK')	font/woff2	etag:%221b44-6a5b6fd0-e60cebdb0bb1757b;;;%22	https://ufeel.sa/build/assets/instrument-sans-500-normal-CTEe1bJa.woff2	D:/copy/wooooo/ufeel.sa/build/assets/instrument-sans-500-normal-CTEe1bJa.woff2	(from https://ufeel.sa/)
